Term,Definition,Domain
"Asset","Anything of value worth protecting — data, systems, facilities, people, reputation","D1 Security Principles"
"Threat","Any circumstance or event with the potential to cause harm","D1 Security Principles"
"Threat actor","The entity that carries out a threat","D1 Security Principles"
"Threat vector","The path or route a threat uses to reach the asset","D1 Security Principles"
"Vulnerability","A weakness that a threat could exploit","D1 Security Principles"
"Exploit","The act or tool that takes advantage of a vulnerability","D1 Security Principles"
"Risk","The likelihood that a threat exploits a vulnerability, combined with the impact","D1 Security Principles"
"Likelihood","How probable it is that the event occurs","D1 Security Principles"
"Impact","How much harm results if it does occur","D1 Security Principles"
"Inherent risk","The risk before any controls are applied","D1 Security Principles"
"Residual risk","The risk remaining after controls. Never zero","D1 Security Principles"
"Risk tolerance","How much risk the organisation will accept. Set by senior management","D1 Security Principles"
"Risk appetite","The broad, strategic amount of risk pursued to meet objectives","D1 Security Principles"
"Risk register","The record of each risk, its assessment, owner and treatment","D1 Security Principles"
"Risk owner","The named person accountable for a specific risk","D1 Security Principles"
"Risk assessment","Identifying risks and determining their likelihood and impact","D1 Security Principles"
"Qualitative assessment","Rating risk in descriptive categories. Subjective, fast, no data needed","D1 Security Principles"
"Quantitative assessment","Rating risk in numbers, usually money. Objective, slow, data-hungry","D1 Security Principles"
"AV — Asset Value","What the asset is worth, in money","D1 Security Principles"
"EF — Exposure Factor","The percentage of asset value lost in a single incident","D1 Security Principles"
"SLE — Single Loss Expectancy","Money lost in one occurrence. SLE = AV × EF","D1 Security Principles"
"ARO — Annual Rate of Occurrence","How many times per year. Once in 10 years = 0.1","D1 Security Principles"
"ALE — Annualised Loss Expectancy","Expected loss per year. ALE = SLE × ARO","D1 Security Principles"
"Risk matrix","A grid of likelihood against impact, used in qualitative assessment","D1 Security Principles"
"Risk treatment","The decision about what to do with an assessed risk","D1 Security Principles"
"Risk acceptance","Knowingly bearing the risk. Informed and documented","D1 Security Principles"
"Risk avoidance","Stopping the activity that creates the risk. The only treatment reaching zero","D1 Security Principles"
"Risk mitigation","Applying controls to reduce likelihood or impact. Activity continues","D1 Security Principles"
"Risk transfer","Shifting the financial consequence to a third party. Insurance or contract","D1 Security Principles"
"Control","A safeguard or countermeasure that reduces risk","D1 Security Principles"
"Technical control","Implemented in hardware, software or firmware. Also logical","D1 Security Principles"
"Administrative control","Implemented through policy, procedure and people. Also managerial","D1 Security Principles"
"Physical control","Tangible protection of facilities, equipment and people","D1 Security Principles"
"Preventive","Stops an incident before it happens","D1 Security Principles"
"Detective","Identifies that an incident happened or is happening","D1 Security Principles"
"Corrective","Restores or repairs after an incident. Backups are corrective","D1 Security Principles"
"Deterrent","Discourages the attempt. Acts on the mind","D1 Security Principles"
"Compensating","An alternative where the primary control is not feasible","D1 Security Principles"
"Directive","Instructs or mandates required behaviour","D1 Security Principles"
"Defence in depth","Layering multiple independent controls so no single failure is fatal","D1 Security Principles"
"Policy","High-level statement of management intent. Mandatory. Approved by senior management","D1 Security Principles"
"Standard","A specific, uniform, mandatory requirement. If it has a number in it, it's a standard","D1 Security Principles"
"Procedure","Detailed step-by-step instructions. Mandatory","D1 Security Principles"
"Guideline","Recommended, non-mandatory advice. The only optional document","D1 Security Principles"
"Baseline","The minimum acceptable level of security for a class of system","D1 Security Principles"
"Regulation","A rule imposed externally, enforceable by law","D1 Security Principles"
"Framework","A structured set of practices an organisation can adopt — ISO 27001, NIST CSF","D1 Security Principles"
"Due diligence","Investigating and understanding the risks. The research","D1 Security Principles"
"Due care","Doing what a reasonable person would do about them. The action","D1 Security Principles"
"Canon 1","Protect society, the common good, necessary public trust and confidence, and the infrastructure","D1 Security Principles"
"Canon 2","Act honourably, honestly, justly, responsibly, and legally","D1 Security Principles"
"Canon 3","Provide diligent and competent service to principals","D1 Security Principles"
"Canon 4","Advance and protect the profession","D1 Security Principles"
"Principal","The person or organisation you serve — employer or client","D1 Security Principles"
"Canon priority","The order IS the ranking. Lower number wins: public → legal → employer → profession","D1 Security Principles"
"Event","Any observable occurrence in a system or network. Neutral — most are routine","D2 BC DR IR"
"Alert","A notification that an event may require attention. A claim, not a fact","D2 BC DR IR"
"Adverse event","An event with a negative consequence","D2 BC DR IR"
"Incident","An event that actually or potentially jeopardises C, I or A, or violates policy","D2 BC DR IR"
"Breach","An incident in which protected data was actually accessed, disclosed or taken","D2 BC DR IR"
"Intrusion","Unauthorised access to a system","D2 BC DR IR"
"Compromise","A system or account under unauthorised control","D2 BC DR IR"
"Near miss","A genuine threat that was prevented or failed, still worth learning from","D2 BC DR IR"
"False positive","An alert for something that was not a problem","D2 BC DR IR"
"Triage","Assessing and prioritising alerts and incidents","D2 BC DR IR"
"Escalation","Raising an incident to higher authority or expertise","D2 BC DR IR"
"Incident response plan (IRP)","The documented process for handling incidents","D2 BC DR IR"
"CSIRT / CIRT","Computer Security Incident Response Team","D2 BC DR IR"
"Playbook","A procedure for one specific incident type","D2 BC DR IR"
"Phase 1 · Preparation","Everything before an incident: plan, team, tools, training, exercises","D2 BC DR IR"
"Phase 2 · Detection and analysis","Identifying that an incident is occurring and determining its nature","D2 BC DR IR"
"Phase 3 · Containment","Limiting the damage and stopping the spread","D2 BC DR IR"
"Phase 4 · Eradication","Removing the cause — malware, attacker access, the vulnerability","D2 BC DR IR"
"Phase 5 · Recovery","Restoring systems to normal and verifying they are clean","D2 BC DR IR"
"Phase 6 · Post-incident activity","The lessons-learned review. Blameless. Feeds back into preparation","D2 BC DR IR"
"Short-term containment","Immediate action — isolate a host, block an address, disable an account","D2 BC DR IR"
"Long-term containment","Temporary fixes allowing business to continue while a proper fix is prepared","D2 BC DR IR"
"The first action","Follow the documented plan and notify. Containment is a phase, not a first move","D2 BC DR IR"
"Chain of custody","An unbroken documented record of who handled evidence, when, and why","D2 BC DR IR"
"Order of volatility","Collect the most perishable evidence first — memory before disk","D2 BC DR IR"
"Working copy","Analyse a copy; preserve the original untouched","D2 BC DR IR"
"BIA","Identifying critical functions and the impact of losing them. Comes first","D2 BC DR IR"
"Critical business function","A function the organisation cannot operate without for long","D2 BC DR IR"
"Impact","The harm from a disruption — financial, operational, reputational, legal, safety","D2 BC DR IR"
"Dependency","Something a function relies on — a system, supplier, person, or facility","D2 BC DR IR"
"Single point of failure","A dependency whose loss stops the function entirely","D2 BC DR IR"
"BIA vs risk assessment","BIA asks ""what if it stops"" (cause-agnostic). Risk assessment asks ""what could happen"" (threats and likelihood)","D2 BC DR IR"
"BIA outputs","Critical functions, impact over time, RTO and RPO, dependencies","D2 BC DR IR"
"RTO — Recovery Time Objective","The target time to restore a function. Looks forward","D2 BC DR IR"
"RPO — Recovery Point Objective","The maximum acceptable data loss, as a period. Looks backward","D2 BC DR IR"
"MTD — Maximum Tolerable Downtime","The longest a function can be down before unacceptable harm","D2 BC DR IR"
"WRT — Work Recovery Time","Time after systems are back to catch the work up","D2 BC DR IR"
"The constraint","RTO ≤ MTD. And RTO + WRT must fit inside MTD","D2 BC DR IR"
"RPO's determinant","Backup frequency. Nightly backups → RPO of up to 24 hours","D2 BC DR IR"
"MTBF — Mean Time Between Failures","Average operating time between failures. A reliability measure. Hardware, not a recovery objective","D2 BC DR IR"
"MTTR — Mean Time To Repair","Average time to fix a failed component. A maintainability measure","D2 BC DR IR"
"Business continuity (BC)","Keeping critical functions operating DURING a disruption","D2 BC DR IR"
"BCP","The documented business continuity plan","D2 BC DR IR"
"Disaster recovery (DR)","Restoring normal operations AFTER. A subset of BC","D2 BC DR IR"
"Scope difference","BC covers the whole business — people, process, premises, suppliers. DR is mainly IT","D2 BC DR IR"
"Manual workaround","Carrying out a process without the usual systems. A continuity measure","D2 BC DR IR"
"Alternate site","Another location from which work can continue","D2 BC DR IR"
"Succession planning","Ensuring key roles can be filled if a person is unavailable. A continuity control","D2 BC DR IR"
"Crisis management","The wider organisational response — decisions, communications, stakeholders","D2 BC DR IR"
"Communications plan","Who is told what, by whom, through which channel. One authorised spokesperson","D2 BC DR IR"
"Activation criteria","Who decides the plan is invoked, and on what basis","D2 BC DR IR"
"Resilience","The ability to absorb disruption and keep functioning","D2 BC DR IR"
"The first priority","Human safety. Evacuation and accounting for staff, before assets or data","D2 BC DR IR"
"DRP","The documented disaster recovery plan","D2 BC DR IR"
"Cold site","Space, power, cooling, connectivity. No equipment, no data. Weeks. Cheapest","D2 BC DR IR"
"Warm site","Space and equipment; data restored when needed. Hours to days","D2 BC DR IR"
"Hot site","Fully equipped, data current. Minutes to hours","D2 BC DR IR"
"Mirrored site","A full duplicate running in parallel. Near instant. Dearest","D2 BC DR IR"
"Reciprocal agreement","Using another organisation's facilities. Cheap and unreliable","D2 BC DR IR"
"Site selection rule","Match the site type to the RTO","D2 BC DR IR"
"Full backup","Everything, every time. Slow backup, fast restore — one set needed","D2 BC DR IR"
"Incremental backup","Changed since the last backup of any kind. Fast backup, slow restore — need them all","D2 BC DR IR"
"Differential backup","Changed since the last full. Medium backup, fast restore — need only the latest","D2 BC DR IR"
"3-2-1 rule","Three copies, two media types, one off-site","D2 BC DR IR"
"Read-through / checklist test","Individuals review the plan on paper. No disruption","D2 BC DR IR"
"Walkthrough / tabletop","The team talks through a scenario together","D2 BC DR IR"
"Simulation","The scenario is acted out; production untouched","D2 BC DR IR"
"Parallel test","Recovery systems brought up while production keeps running","D2 BC DR IR"
"Full interruption test","Production switched off; run from recovery. Most rigorous, most risky","D2 BC DR IR"
"Backup verification","Test-restore them. A successful job report proves nothing","D2 BC DR IR"
"Subject","The active entity requesting access — user, process, device","D3 Access Control"
"Object","The passive entity being accessed — file, database, room, record","D3 Access Control"
"Rule","The logic deciding whether access is permitted","D3 Access Control"
"Access control","The selective restriction of access to a resource","D3 Access Control"
"Permission","A right over a specific object — read, write, execute, delete","D3 Access Control"
"Privilege","A system-level right, such as installing software","D3 Access Control"
"Entitlement","The total set of access rights a subject holds","D3 Access Control"
"ACL","A list attached to the object: ""who may access me""","D3 Access Control"
"Capability list","A list attached to the subject: ""what may I access""","D3 Access Control"
"Access control matrix","A grid of subjects against objects. A row is a capability list; a column is an ACL","D3 Access Control"
"Reference monitor","The component mediating every access request","D3 Access Control"
"Reference monitor properties","Always invoked · tamper-proof · small enough to verify","D3 Access Control"
"Default deny","Denying anything not explicitly permitted. Nearly always the right answer","D3 Access Control"
"Default allow","Blocking only what is known bad. The weaker model","D3 Access Control"
"Perimeter","The outermost physical boundary of a site","D3 Access Control"
"The rings","Perimeter → Building → Floor/Zone → Room → Cabinet","D3 Access Control"
"Bollard","A short post preventing vehicles reaching a building. Preventive","D3 Access Control"
"Mantrap / access control vestibule","Two interlocking doors, one opens at a time. The answer to tailgating","D3 Access Control"
"Turnstile","A barrier permitting one person through at a time","D3 Access Control"
"Badge / access card","A credential presented to a reader. A possession factor","D3 Access Control"
"Proximity card","A badge read wirelessly at short range","D3 Access Control"
"CCTV","Camera surveillance. Detective, and deterrent if visible. Prevents nothing","D3 Access Control"
"Motion sensor","Detects movement in a monitored area. Detective","D3 Access Control"
"Lighting / signage","Deterrent only","D3 Access Control"
"Security guard","A human control. Preventive, deterrent and detective — and capable of judgement","D3 Access Control"
"Fail-safe","On failure the door UNLOCKS. Protects PEOPLE. For occupied spaces","D3 Access Control"
"Fail-secure","On failure the door LOCKS. Protects ASSETS. For unoccupied high-value spaces","D3 Access Control"
"Tailgating","Following an authorised person through a door without their knowledge","D3 Access Control"
"Piggybacking","The same, with their consent. Piggybacking has permission","D3 Access Control"
"Clean desk policy","Sensitive material secured when unattended. The physical session timeout","D3 Access Control"
"HVAC","Heating, ventilation, air conditioning. An availability control","D3 Access Control"
"UPS","Uninterruptible power supply. Short power interruptions","D3 Access Control"
"Fire suppression","Corrective. Data centres use gas-based, not water","D3 Access Control"
"Faraday cage","Shielding that blocks electromagnetic emissions","D3 Access Control"
"Logical control","Implemented in software, hardware or firmware. Same as technical","D3 Access Control"
"The test","Could you touch it? Touchable = physical. Configured = logical","D3 Access Control"
"Account lockout","Disabling an account after repeated failures. Defeats brute force","D3 Access Control"
"Session timeout","Ending an idle session. Stops an unattended open session being used","D3 Access Control"
"Concurrent session limit","Preventing one credential being used in several places at once","D3 Access Control"
"Time-of-day restriction","Permitting access only during defined hours","D3 Access Control"
"Location restriction","Permitting access only from approved networks or places","D3 Access Control"
"Constrained interface","Hiding or disabling functions the user may not use. Not an access control on its own","D3 Access Control"
"Database view","Showing a user only the rows and columns they may see","D3 Access Control"
"Audit logging","Recording what identities did. Detective","D3 Access Control"
"Access review","Periodically confirming held access is still appropriate. DETECTIVE","D3 Access Control"
"DAC — Discretionary","The resource OWNER decides, at their discretion. Most flexible, least secure","D3 Access Control"
"DAC tell","""The file's owner chose who could see it."" Ordinary file permissions","D3 Access Control"
"MAC — Mandatory","The SYSTEM decides from labels and clearances. The owner cannot override. Most secure","D3 Access Control"
"MAC tell","""Classified"" · ""clearance"" · ""cannot grant an exception""","D3 Access Control"
"RBAC — Role-Based","Access via the ROLE — a job function. Most common in business","D3 Access Control"
"RBAC tell","""Because of her job function."" Risk: role explosion","D3 Access Control"
"ABAC — Attribute-Based","Decided from multiple ATTRIBUTES at request time. Most granular, most complex","D3 Access Control"
"ABAC tell","Several different conditions together — role AND device AND time AND location","D3 Access Control"
"Rule-based access control","System-wide rules regardless of who you are — e.g. firewall rules","D3 Access Control"
"Security label","A classification attached to an object — Confidential, Secret, Top Secret","D3 Access Control"
"Clearance","The level a subject is authorised for. Not sufficient alone — need to know applies too","D3 Access Control"
"Role explosion","Roles proliferating until there are nearly as many roles as users","D3 Access Control"
"Security ranking","MAC highest → DAC lowest. Flexibility runs the other way","D3 Access Control"
"Least privilege","Only the access the role requires. Limits how much one person can do","D3 Access Control"
"Need to know","Only the information required for the task. What you can see","D3 Access Control"
"Segregation of duties (SoD)","No one person can complete a sensitive process alone","D3 Access Control"
"The classic split","Requester ≠ approver ≠ executor ≠ reconciler","D3 Access Control"
"Collusion","Two or more people cooperating to defeat SoD. What SoD requires to be beaten","D3 Access Control"
"Dual control","Two people for the SAME single action — two keys turned together","D3 Access Control"
"Job rotation","Periodically moving staff between roles. A security control","D3 Access Control"
"Mandatory vacation","Requiring leave so someone else performs the duties. Exposes concealed fraud","D3 Access Control"
"Excessive privilege","Holding more access than the role requires","D3 Access Control"
"Entitlement review","Confirming held access is still appropriate","D3 Access Control"
"Privileged account","Can change the system itself — including disabling the logs","D3 Access Control"
"Standing privilege","Privileged rights held permanently. The weakness","D3 Access Control"
"Just-in-time (JIT) access","Privilege granted only when needed, then removed. The expected answer","D3 Access Control"
"PAM","Privileged Access Management — the discipline and tooling","D3 Access Control"
"Credential vault","A secure store from which privileged credentials are checked out, logged","D3 Access Control"
"Session recording","Capturing what was done during a privileged session","D3 Access Control"
"Break-glass account","An emergency high-privilege account. Use triggers an alert, documented after","D3 Access Control"
"Service account","A non-human account used by an application. Scope, rotate, deny interactive logon","D3 Access Control"
"Separate admin account","Admins do email and browsing on an ordinary account. Most-examined control here","D3 Access Control"
"Log placement","Privileged activity logged where administrators cannot edit it","D3 Access Control"
"Privilege escalation","An attacker gaining rights never granted","D3 Access Control"
"Provisioning","Creating an identity and granting its initial access","D3 Access Control"
"Deprovisioning","Removing access and disabling the identity","D3 Access Control"
"Joiner, mover, leaver (JML)","The three lifecycle stages. Mover is the one that fails","D3 Access Control"
"The mover failure","New access granted, old access never revoked → privilege creep","D3 Access Control"
"Orphaned account","Active with no valid owner — a leaver never disabled","D3 Access Control"
"Dormant account","Has an owner, unused for an extended period","D3 Access Control"
"Authoritative source","The system of record for who works here — usually HR","D3 Access Control"
"Hostile departure","Access removed before or during notification","D3 Access Control"
"Disable vs delete","Disable first — deletion destroys audit trail and data ownership","D3 Access Control"
"Access review performer","The manager or data owner — not IT, not the user","D3 Access Control"
"Defence in depth","Layering multiple independent controls so no single failure is fatal","D3 Access Control"
"Layered security","The same thing, used interchangeably","D3 Access Control"
"Independent layers","Controls that do not share a common failure cause","D3 Access Control"
"Common mode failure","One cause defeating several controls at once","D3 Access Control"
"Diversity of defence","Different kinds of control, not more of the same","D3 Access Control"
"Redundancy","Duplicating a component so failure does not stop the function","D3 Access Control"
"The test for independence","What single event defeats more than one layer?","D3 Access Control"
"Classic violation","A strong perimeter with a flat internal network","D3 Access Control"
"The address rule","MAC → 2. IP → 3. Port → 4. The address tells you the layer","D4 Network Security"
"ARP's layer","Layer 2. Most-missed placement — it resolves IP to MAC locally","D4 Network Security"
"TLS's layer","Layer 6, Presentation, on this exam","D4 Network Security"
"PDU chain going down","Data → Segment → Packet → Frame → Bits","D4 Network Security"
"Encapsulation","Each layer wrapping the layer above with its own header","D4 Network Security"
"TCP/IP model","4 layers: Application (7+6+5), Transport (4), Internet (3), Network Access (2+1)","D4 Network Security"
"The naming trap","OSI layer 3 is Network; the TCP/IP equivalent is Internet","D4 Network Security"
"PAN","Personal Area Network — around one person. Bluetooth","D4 Network Security"
"LAN","Local Area Network — one building or office","D4 Network Security"
"MAN","Metropolitan Area Network — a city or campus","D4 Network Security"
"WAN","Wide Area Network — large geographic area. The internet is the largest","D4 Network Security"
"Intranet","The organisation's private internal network","D4 Network Security"
"Extranet","Controlled extension to named external parties — partners, suppliers","D4 Network Security"
"Hub","Layer 1. Floods every frame to every port → eavesdropping risk. Obsolete","D4 Network Security"
"Switch","Layer 2. Forwards by MAC, only to the right port. Within a network","D4 Network Security"
"Router","Layer 3. Forwards by IP. Between networks","D4 Network Security"
"Bridge","Connects two segments. An early, simpler switch","D4 Network Security"
"Access point","Provides wireless connection into a wired network","D4 Network Security"
"Gateway","Connects networks using different protocols; translates","D4 Network Security"
"Bus topology","One shared cable. One break kills the whole network","D4 Network Security"
"Star topology","All devices to a central point. Most common. Central single point of failure","D4 Network Security"
"Ring topology","Each device to two neighbours, forming a loop","D4 Network Security"
"Mesh topology","Multiple interconnections. Most resilient, most expensive","D4 Network Security"
"Bandwidth","How much data a link can carry","D4 Network Security"
"Latency","How long data takes to arrive","D4 Network Security"
"TCP","Connection-oriented, reliable, acknowledged, retransmits, ordered. Slower","D4 Network Security"
"UDP","Connectionless, unreliable, no acknowledgement, no ordering. Faster","D4 Network Security"
"Three-way handshake","SYN → SYN-ACK → ACK","D4 Network Security"
"TCP uses","Web, email, file transfer — anything that must arrive intact","D4 Network Security"
"UDP uses","Streaming, voice, video, DNS queries, gaming","D4 Network Security"
"IPv4","32-bit, four dotted decimal octets: 192.0.2.15","D4 Network Security"
"IPv6","128-bit, hex groups with colons. Exists because IPv4 ran out. IPSec built in","D4 Network Security"
"Private range 1","10.0.0.0/8 — 10.0.0.0 to 10.255.255.255","D4 Network Security"
"Private range 2","172.16.0.0/12 — 172.16 to 172.31 ONLY","D4 Network Security"
"Private range 3","192.168.0.0/16","D4 Network Security"
"The 172 trap","172.15.x.x and 172.32.x.x are PUBLIC","D4 Network Security"
"127.0.0.1","Loopback — this device itself","D4 Network Security"
"169.254.x.x","APIPA — the device self-assigned because DHCP FAILED","D4 Network Security"
"Subnet mask","Defines which part of an address is network and which is host","D4 Network Security"
"Default gateway","The router a device uses for destinations outside its own network","D4 Network Security"
"DHCP","Gives you an IP address, mask, gateway and DNS servers automatically","D4 Network Security"
"DNS","Resolves names → IP addresses","D4 Network Security"
"NAT","Translates private ↔ public addresses. Purpose: address conservation","D4 Network Security"
"NAT's status","NOT a security control and NOT a firewall. Obscurity is a side effect","D4 Network Security"
"DNSSEC","Authenticity and integrity of DNS answers. It signs; it does not encrypt","D4 Network Security"
"Rogue DHCP server","Hands clients a malicious gateway or DNS server","D4 Network Security"
"DNS cache poisoning","Corrupting a resolver so a name points to an attacker's address","D4 Network Security"
"Well-known ports","0–1023","D4 Network Security"
"Registered ports","1024–49151","D4 Network Security"
"Dynamic / ephemeral","49152–65535","D4 Network Security"
"Socket","An IP address and port together — 192.0.2.10:443","D4 Network Security"
"Replace Telnet(23)","With SSH (22)","D4 Network Security"
"Replace FTP(21)","With SFTP (22)","D4 Network Security"
"Replace HTTP(80)","With HTTPS (443)","D4 Network Security"
"Replace LDAP(389)","With LDAPS (636)","D4 Network Security"
"SFTP vs FTPS","SFTP = over SSH, port 22. FTPS = FTP with TLS, 989/990","D4 Network Security"
"Mail direction","SMTP sends. POP3 and IMAP receive","D4 Network Security"
"Script kiddie","Unskilled, uses others' tools. Lowest capability","D4 Network Security"
"Hacktivist","Motivated by a political or social cause","D4 Network Security"
"Organised crime","Motivated by money. High capability, professional","D4 Network Security"
"APT","Well-resourced, persistent, long-term covert access. Usually state-linked. Highest","D4 Network Security"
"Insider threat","Originates from someone with legitimate access","D4 Network Security"
"Insider reality","Most insider incidents are NEGLIGENT, not malicious","D4 Network Security"
"Virus","Attaches to a file. Needs a user to run it","D4 Network Security"
"Worm","Spreads by itself over a network. No user action","D4 Network Security"
"Trojan","Disguised as legitimate software; the user installs it","D4 Network Security"
"Ransomware","Encrypts data and demands payment. An availability attack","D4 Network Security"
"Spyware","Covertly gathers information","D4 Network Security"
"Rootkit","HIDES itself and other malware, often below the OS","D4 Network Security"
"Backdoor","OPENS a concealed route bypassing authentication","D4 Network Security"
"Logic bomb","Malicious code triggered by a condition — a date, an account disabled","D4 Network Security"
"Keylogger","Records keystrokes. Software or hardware","D4 Network Security"
"Botnet","Many compromised hosts under one attacker's control","D4 Network Security"
"Fileless malware","Runs in memory using legitimate system tools","D4 Network Security"
"Zero-day","No patch exists and the vendor does not know","D4 Network Security"
"Unpatched","A fix exists but was not applied. Not the same as zero-day","D4 Network Security"
"Social engineering","Manipulating people rather than technology","D4 Network Security"
"Phishing","Fraudulent email sent broadly","D4 Network Security"
"Spear phishing","Targeted at a specific individual or organisation","D4 Network Security"
"Whaling","Spear phishing aimed at a senior executive","D4 Network Security"
"Vishing","By voice — a phone call","D4 Network Security"
"Smishing","By SMS","D4 Network Security"
"Pretexting","Inventing a scenario to establish false legitimacy","D4 Network Security"
"Baiting","Leaving infected media where someone will use it","D4 Network Security"
"Shoulder surfing","Watching someone enter credentials","D4 Network Security"
"Dumpster diving","Retrieving information from discarded material","D4 Network Security"
"The defence","Security awareness training. The vulnerability is human","D4 Network Security"
"DoS","Making a resource unavailable. One source","D4 Network Security"
"DDoS","The same from many sources. The extra D is Distributed","D4 Network Security"
"SYN flood","Many SYNs, never completing the handshake, filling the half-open table","D4 Network Security"
"Amplification / reflection","Small spoofed requests to services returning far larger replies","D4 Network Security"
"On-path attack","The attacker relays between two parties. ACTIVE. Formerly man-in-the-middle","D4 Network Security"
"Eavesdropping / sniffing","PASSIVE capture. Modifies nothing, hard to detect","D4 Network Security"
"IP spoofing","Forging the source IP address","D4 Network Security"
"MAC spoofing","Forging a hardware address, often to bypass MAC filtering","D4 Network Security"
"ARP spoofing / poisoning","False ARP replies so traffic for the gateway goes to the attacker","D4 Network Security"
"Replay attack","Capturing valid data and re-sending it later. Encryption does not stop it","D4 Network Security"
"Replay defence","Timestamps, sequence numbers, nonces","D4 Network Security"
"Session hijacking","Taking over an already authenticated session with a stolen token","D4 Network Security"
"SQL injection","Database commands in an input field. Attacks the database","D4 Network Security"
"XSS","Script injected into a page, run in other users' browsers","D4 Network Security"
"Command injection","OS commands passed through an application input","D4 Network Security"
"Buffer overflow","Writing more data than the allocated memory holds","D4 Network Security"
"Injection defence","Input validation and parameterised queries","D4 Network Security"
"Brute force","Tries every combination. Defeated by account lockout","D4 Network Security"
"Dictionary attack","Tries a prepared list of likely passwords","D4 Network Security"
"Password spraying","One password across many accounts — to evade lockout","D4 Network Security"
"Credential stuffing","Username/password pairs breached elsewhere. Exploits reuse","D4 Network Security"
"Rainbow table","Precomputed hash lookups. Defeated by salting","D4 Network Security"
"Side-channel attack","Deducing secrets from timing, power draw or emissions","D4 Network Security"
"Privilege escalation","An attacker gaining rights never granted","D4 Network Security"
"Firewall","Permits or denies traffic against a ruleset. Layers 3–4 in the basic model","D4 Network Security"
"Packet-filtering firewall","Examines each packet alone. Stateless","D4 Network Security"
"Stateful firewall","Tracks connections; permits return traffic for sessions you started","D4 Network Security"
